"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome"
,"K562","10M","CM","GATA1",,,"CM21-1",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_GATA1_CM21_1_R1_1.bam","hg19"
,"K562","10M","CHIP","GATA1",,,"CM21-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_GATA1_CM21_4_R1_1.bam","hg19"
,"K562","10M","CHIP","GATA1",,,"CM21-4",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_GATA1_CM21_4_R1_1.bam","hg19"
,"K562","10M","CM","GATA1",,,"CM23-1",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_10mio_CM_GATA1_CM23_1_R2_1.bam","hg19"
,"K562","10M","CHIP","GATA1",,,"CM23-4",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_10mio_ChIP_GATA1_CM23_4_R2_1.bam","hg19"
,"K562","10M","CM","GATA2",,,"CM22-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_GATA2_CM22_1_R1_1.bam","hg19"
,"K562","10M","CHIP","GATA2",,,"CM22-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_GATA2_CM22_6_R1_1.bam","hg19"
,"K562","10K","CM","H3K27AC",,,"CM13-5",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0111_C568EACXX/BSF_0111_C568EACXX_4_samples/BSF_0111_C568EACXX_4#CM13_5_H3K27ac_10k.bam","hg19"
,"K562","10M","CM","H3K27AC",,,"CM21-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_H3K27ac_CM21_2_R1_1.bam","hg19"
,"K562","10M","CM","H3K27AC",,,"CM21-2",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_H3K27ac_CM21_2_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K27AC",,,"CM21-5",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_H3K27ac_CM21_5_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K27AC",,,"CM21-5",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_H3K27ac_CM21_5_R1_1.bam","hg19"
,"K562","500K","CM","H3K27AC",,,"CM13-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0111_C568EACXX/BSF_0111_C568EACXX_4_samples/BSF_0111_C568EACXX_4#CM13_4_H3K27ac_500k.bam","hg19"
,"K562","500K","CHIP","H3K27AC",,,"CM14-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#CM14_6_H3K27ac_500k_normChIP.bam","hg19"
,"K562","10K","CM","H3K27ME3",,,"CM11-6",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_6_H3K27me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K27ME3",,,"CM11-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_6_H3K27me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K27ME3",,,"CM12-6",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_6_H3K27me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K27ME3",,,"CM12-6",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-6_H3K27me3_10k_TAG.bam","hg19"
,"K562","1K","CM","H3K27ME3",,,"CM17-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#H3K27me3_K562_1k_CM_CM17_4.bam","hg19"
,"K562","3K","CM","H3K27ME3",,,"CM17-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#H3K27me3_K562_3k_CM_CM17_2.bam","hg19"
,"K562","3K","CM","H3K27ME3",,,"CM18-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0129_C5HM7ACXX/BSF_0129_C5HM7ACXX_8_samples/BSF_0129_C5HM7ACXX_8#H3K27me3_K562_3k_CM_CM18_2.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM11-10",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM11-10",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CM","H3K27ME3",,,"CM11-2",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_2_H3K27me3_500k_TAG.bam","hg19"
,"K562","500K","CM","H3K27ME3",,,"CM11-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_2_H3K27me3_500k_TAG.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-10_H3K27me3_500k_normalChIP.bam","hg19"
,"K562","500K","CM","H3K27ME3",,,"CM12-2",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_2_H3K27me3_500k_TAG.bam","hg19"
,"K562","500K","CM","H3K27ME3",,,"CM12-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-2_H3K27me3_500k_TAG.bam","hg19"
,"K562","10M","CHIP","H3K36ME3",,,"CM24-8",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_10mio_ChIP_H3K36me3_CM24_8_R1_1.bam","hg19"
,"K562","10M","CM","H3K36ME3",,,"CM24-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_8_samples/BSF_0146_C5NUPACXX_8#K562_10mio_CM_H3K36me3_CM24_3_R1_1.bam","hg19"
,"K562","10M","CM","H3K4ME1",,"PE","CM26-15",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_10mio_CM_H3K4me1_CM26_15_R1_1.bam","hg19"
,"K562","10M","ATAC","H3K4ME1",,"PE","CM26-16",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_10mio_TagDNA_H3K4me1_CM26_16_R1_1.bam","hg19"
,"K562","10M","CM","H3K4ME1",,,"CM22-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_H3K4me1_CM22_4_R1_1.bam","hg19"
,"K562","10M","CM","H3K4ME1",,,"CM22-4",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_CM_H3K4me1_CM22_4_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K4ME1",,,"CM22-9",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_H3K4me1_CM22_9_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K4ME1",,,"CM22-9",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0139_C64UYACXX/BSF_0139_C64UYACXX_1_samples/BSF_0139_C64UYACXX_1#K562_10mio_ChIP_H3K4me1_CM22_9_R1_1.bam","hg19"
,"K562","10M","CHIP","H3K4ME1",,,"CM24-7",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_7_samples/BSF_0146_C5NUPACXX_7#K562_10mio_ChIP_H3K4me1_CM24_7_R1_1.bam","hg19"
,"K562","10M","CM","H3K4ME1",,,"CM24-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0146_C5NUPACXX/BSF_0146_C5NUPACXX_8_samples/BSF_0146_C5NUPACXX_8#K562_10mio_CM_H3K4me1_CM24_2_R2_1.bam","hg19"
,"K562","100K","CM","H3K4ME3",,,"CM8-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_2_samples/BSF_0102_C49ATACXX_2#CM_8_3_H3K4me3_100kcells.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM1-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0088_C3U90ACXX/BSF_0088_C3U90ACXX_2_samples/BSF_0088_C3U90ACXX_2#CM_1_3_H3K4me3_10k.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM11-5",3,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_5_H3K4me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM11-5",3,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_5_H3K4me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM12-5",4,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_5_H3K4me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM12-5",4,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-5_H3K4me3_10k_TAG.bam","hg19"
,"K562","10K","CM","H3K4ME3",,,"CM8-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_2_samples/BSF_0102_C49ATACXX_2#CM_8_2_H3K4me3_10kcells.bam","hg19"
,"K562","1K","CM","H3K4ME3",,,"CM17-3",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#H3K4me3_K562_1k_CM_CM17_3.bam","hg19"
,"K562","1K","CM","H3K4ME3",,,"CM8-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_2_samples/BSF_0102_C49ATACXX_2#CM_8_1_H3K4me3_1kcells.bam","hg19"
,"K562","1M","CM","H3K4ME3",,,"CM2-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0090_C3TYGACXX/BSF_0090_C3TYGACXX_3_samples/BSF_0090_C3TYGACXX_3#CM_2_1_H3K4me3_1mio.bam","hg19"
,"K562","3K","CM","H3K4ME3",,,"CM17-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#H3K4me3_K562_3k_CM_CM17_1.bam","hg19"
,"K562","3K","CM","H3K4ME3",,,"CM18-1",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0129_C5HM7ACXX/BSF_0129_C5HM7ACXX_8_samples/BSF_0129_C5HM7ACXX_8#H3K4me3_K562_3k_CM_CM18_1.bam","hg19"
,"K562","500K","ATAC","H3K4ME3",,"01ULTN5_PE","CM25-6",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_TagDNA_H3K4me3_0_1ulTn5_CM25_6_11_R1_1.bam","hg19"
,"K562","500K","CM","H3K4ME3",,"02ULTN5_PE","CM25-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_CM_H3K4me3_0_2ulTn5_CM25_1_R1_1.bam","hg19"
,"K562","500K","CM","H3K4ME3",,"05ULTN5_PE","CM25-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_CM_H3K4me3_0_5ulTn5_CM25_2_R1_1.bam","hg19"
,"K562","500K","CM","H3K4ME3",,"1ULTN5_PE","CM25-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_CM_H3K4me3_1ulTn5_CM25_3_R1_1.bam","hg19"
,"K562","500K","CM","H3K4ME3",,"5ULTN5_PE","CM25-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0145_C5PL4ACXX/BSF_0145_C5PL4ACXX_1_samples/BSF_0145_C5PL4ACXX_1#K562_500k_CM_H3K4me3_5ulTn5_CM25_4_R1_1.bam","hg19"
,"K562","500K","CM","H3K4ME3",,,"CM11-1",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_1_H3K4me3_500k_TAG.bam","hg19"
,"K562","500K","CM","H3K4ME3",,,"CM11-1",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_1_H3K4me3_500k_TAG.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM11-9",1,3,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM11-9",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0110_C561TACXX/BSF_0110_C561TACXX_7_samples/BSF_0110_C561TACXX_7#CM11-9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM11-9",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CM","H3K4ME3",,,"CM12-1",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_1_H3K4me3_500k_TAG.bam","hg19"
,"K562","500K","CM","H3K4ME3",,,"CM12-1",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-1_H3K4me3_500k_TAG.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM12-9",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","500K","CHIP","H3K4ME3",,,"CM12-9",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-9_H3K4me3_500k_normalChIP.bam","hg19"
,"K562","750K","CM","H3K4ME3",,,"CM1-2",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0088_C3U90ACXX/BSF_0088_C3U90ACXX_2_samples/BSF_0088_C3U90ACXX_2#CM_1_2_H3K4me3_750k.bam","hg19"
,"PBMC",,"ATAC","H3K4ME3",,"100PG",,1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0081_C3N4DACXX/BSF_0081_C3N4DACXX_2_samples/BSF_0081_C3N4DACXX_2#H3K4me3_2ug_poly_NEX.bam","hg19"
,"PBMC",,"ATAC","H3K4ME3",,"100PG",,1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0083_C3MNWACXX/BSF_0083_C3MNWACXX_2_samples/BSF_0083_C3MNWACXX_2#H3K4me3_2ug_poly_NEX.bam","hg19"
,"PBMC",,"ATAC","H3K4ME3",,"10PG",,1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0086_C3NY0ACXX/BSF_0086_C3NY0ACXX_2_samples/BSF_0086_C3NY0ACXX_2#H3K4me3_2ug_poly_10pg.bam","hg19"
,"PBMC",,"ATAC","H3K4ME3",,"2PG",,1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0086_C3NY0ACXX/BSF_0086_C3NY0ACXX_2_samples/BSF_0086_C3NY0ACXX_2#H3K4me3_2ug_poly_2pg.bam","hg19"
,"PBMC",,"CHIP","H3K4ME3",,,,1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0082_C3JPBACXX/BSF_0082_C3JPBACXX_2_samples/BSF_0082_C3JPBACXX_2#H3K4me3_2ug_poly.bam","hg19"
,"K562","100K","CM","IGG",,,"CM8-3",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_2_samples/BSF_0102_C49ATACXX_2#CM_8_3_IgG_100kcells.bam","hg19"
,"K562","10K","CM","IGG",,,"CM1-7",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0088_C3U90ACXX/BSF_0088_C3U90ACXX_2_samples/BSF_0088_C3U90ACXX_2#CM_1_7_IgG_10k.bam","hg19"
,"K562","10K","CM","IGG",,,"CM11-7",3,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_1_samples/BSF_0120_C5CVMACXX_1#CM11_7_IgG_10k_TAG.bam","hg19"
,"K562","10K","CM","IGG",,,"CM11-7",3,1,"/fhgfs/groups/lab_bsf/samples/BSF_0107_C4GLTACXX/BSF_0107_C4GLTACXX_5_samples/BSF_0107_C4GLTACXX_5#CM11_7_IgG_10k_TAG.bam","hg19"
,"K562","10K","CM","IGG",,,"CM12-7",4,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_2_samples/BSF_0120_C5CVMACXX_2#CM12_7_IgG_10k_TAG.bam","hg19"
,"K562","10K","CM","IGG",,,"CM12-7",4,1,"/fhgfs/groups/lab_bsf/samples/BSF_0109_C4W36ACXX/BSF_0109_C4W36ACXX_3_samples/BSF_0109_C4W36ACXX_3#CM12-7_IgG_10k_TAG.bam","hg19"
,"K562","10K","CM","IGG",,,"CM13-7",5,1,"/fhgfs/groups/lab_bsf/samples/BSF_0111_C568EACXX/BSF_0111_C568EACXX_4_samples/BSF_0111_C568EACXX_4#CM13_7_IgG_10k.bam","hg19"
,"K562","10K","CM","IGG",,,"CM8-2",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_2_samples/BSF_0102_C49ATACXX_2#CM_8_2_IgG_10kcells.bam","hg19"
,"K562","10M","CM","IGG",,,"CM18-11",3,1,"/fhgfs/groups/lab_bsf/samples/BSF_0129_C5HM7ACXX/BSF_0129_C5HM7ACXX_8_samples/BSF_0129_C5HM7ACXX_8#IgG_K562_10mio_CM_CM18_11.bam","hg19"
,"K562","10M","CM","IGG",,,"CM21-3",4,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_IgG_CM21_3_R1_1.bam","hg19"
,"K562","10M","CHIP","IGG",,,"CM22-10",3,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_ChIP_IgG_CM22_10_R1_1.bam","hg19"
,"K562","10M","CM","IGG",,,"CM22-5",5,1,"/fhgfs/groups/lab_bsf/samples/BSF_0142_C55ALACXX/BSF_0142_C55ALACXX_1_samples/BSF_0142_C55ALACXX_1#K562_10mio_CM_IgG_CM22_5_R1_1.bam","hg19"
,"K562","10M","CM","IGG",,,"CM15-4",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0127_C5CJ1ACXX/BSF_0127_C5CJ1ACXX_6_samples/BSF_0127_C5CJ1ACXX_6#IgGrab_K562_10mio_CM_CM15_4.bam","hg19"
